IDENT_INTRT;IDENT_INFRA;DAT_INFRA_COMMI;COD_TYP_DEFDR;COD_MUNI_LIEU;TYP_DOCUM_INTRT;CODE_LOI_REGLEMENT;NO_ARTCL_L_R;COD_TYP_RESP_INFRA;COD_TYP_VEH_INFRA;DESC_TYP_VEH_INFRA;DESCN_CAT_INFRA;MASSE_PERMS;MASSE_CNSTA;VITSS_PERMS;VITSS_CNSTA;ADM_ORIG_VEH
DI9999CLRHK300;IN9999V0FVY000;2021-03-29;C;91020;RIGE;c.C-24.2;327;AU;AU;Autre véhicule;Règles de circulation;;;;;Québec
DI9999YDXNK300;IN99997HTWY000;2021-07-07;T;59010;RIGE;c.C-24.2;519.71;AU;AU;Autre véhicule;Autres;;;;;Québec
DI9999W2CSK300;IN9999PVH4Z000;2021-06-30;T;66023;RIGE;c.C-24.2;519.20;PR;VL;Véhicule lourd;Autres;;;;;Québec
DI9999W2CSK300;IN99997JW4Z000;2021-06-30;T;66023;RIGE;c.C-24.2;519.20;PR;VL;Véhicule lourd;Autres;;;;;Québec
DI9999J6TZK300;IN99993E4BZ000;2021-04-01;T;94068;RIGE;c.C-24.2;519.15;PR;VL;Véhicule lourd;Vérification mécanique;;;;;Québec
DI9999J6TZK300;IN9999LW4BZ000;2020-12-01;T;94068;RIGE;c.C-24.2;519.15;PR;VL;Véhicule lourd;Vérification mécanique;;;;;Québec
DI9999J6TZK300;IN9999095BZ000;2021-05-24;C;93042;RIGE;c.C-24.2;519.8.1;CD;VL;Véhicule lourd;Heures de conduite;;;;;Québec
DI99995ELXK300;IN9999M3JBZ000;2021-08-18;T;89008;RIGE;c.C-24.2;519.20;EX;VL;Véhicule lourd;Autres;;;;;Québec
DI9999F1Q0L300;IN9999POSBZ000;2021-08-27;T;66023;RIGE;c.C-24.2;519.20;PR;VL;Véhicule lourd;Autres;;;;;Québec
DI9999F1Q0L300;IN9999SPTBZ000;2021-08-27;T;66023;RIGE;c.C-24.2;519.20;PR;VL;Véhicule lourd;Autres;;;;;Québec
DI9999F1Q0L300;IN9999JEUBZ000;2021-08-27;T;66023;RIGE;c.C-24.2;519.20;EX;VL;Véhicule lourd;Autres;;;;;Québec
DI9999F1Q0L300;IN9999B4VBZ000;2021-07-30;T;66023;RIGE;c.C-24.2;519.21.1;EX;VL;Véhicule lourd;Heures de conduite;;;;;Québec
DI9999B67ZK300;IN9999LNPCZ000;2021-10-04;T;12072;RIGE;c.C-24.2;519.20;PR;VL;Véhicule lourd;Autres;;;;;Québec
DI9999J6TZK300;IN999940PEZ000;2020-12-01;T;94068;RIGE;c.C-24.2;519.15;PR;VL;Véhicule lourd;Vérification mécanique;;;;;Québec
DI9999J6TZK300;IN9999ZXOEZ000;2021-05-02;T;94068;RIGE;c.C-24.2;519.21.1;EX;VL;Véhicule lourd;Heures de conduite;;;;;Québec
DI9999J6TZK300;IN9999PLPEZ000;2021-05-01;C;93042;RIGE;c.C-24.2;519.10;CD;VL;Véhicule lourd;Heures de conduite;;;;;Québec
DI9999J6TZK300;IN9999B5QEZ000;2021-05-29;C;94068;RIGE;c.C-24.2;519.10;CD;VL;Véhicule lourd;Heures de conduite;;;;;Québec
DI9999J6TZK300;IN9999MGQEZ000;2021-05-25;C;94068;RIGE;c.C-24.2;519.10;CD;VL;Véhicule lourd;Heures de conduite;;;;;Québec
DI9999J6TZK300;IN99993XQEZ000;2021-05-28;T;94068;RIGE;c.C-24.2;519.21.1;EX;VL;Véhicule lourd;Heures de conduite;;;;;Québec
DI9999J6TZK300;IN9999OGREZ000;2021-05-14;C;94068;RIGE;c.C-24.2;519.10;CD;VL;Véhicule lourd;Heures de conduite;;;;;Québec
DI9999J6TZK300;IN9999PBUEZ000;2021-05-31;C;93042;RIGE;c.C-24.2;519.10;CD;VL;Véhicule lourd;Heures de conduite;;;;;Québec
DI9999J6TZK300;IN9999KYYEZ000;2021-05-27;C;94068;RIGE;c.C-24.2;519.10;CD;VL;Véhicule lourd;Heures de conduite;;;;;Québec
DI9999J6TZK300;IN9999P1ZEZ000;2021-05-05;C;91025;RIGE;c.C-24.2;519.10;CD;VL;Véhicule lourd;Heures de conduite;;;;;Québec
DI9999J6TZK300;IN9999W8ZEZ000;2021-05-25;T;93042;RIGE;c.C-24.2;519.21.1;EX;VL;Véhicule lourd;Heures de conduite;;;;;Québec
DI9999J6TZK300;IN9999FRZEZ000;2021-05-13;C;94068;RIGE;c.C-24.2;519.10;CD;VL;Véhicule lourd;Heures de conduite;;;;;Québec
DI9999B67ZK300;IN99999E1FZ000;2021-10-04;T;12072;RIGE;c.C-24.2;519.20;PR;VL;Véhicule lourd;Autres;;;;;Québec
DI9999P772L300;IN9999DWUFZ000;2021-10-06;T;50072;RIGE;c.C-24.2;519.21.1;EX;VL;Véhicule lourd;Heures de conduite;;;;;Québec
DI9999P772L300;IN9999SCAGZ000;2021-08-23;C;51055;RIGE;c.C-24.2;519.10;CD;VL;Véhicule lourd;Heures de conduite;;;;;Québec
DI9999P772L300;IN9999VFAGZ000;2021-08-24;C;61013;RIGE;c.C-24.2;519.8.1;CD;VL;Véhicule lourd;Heures de conduite;;;;;Québec
DI99999QWZK300;IN9999LYCHZ000;2021-10-18;T;93020;RIGE;c.C-24.2;519.20;PR;VL;Véhicule lourd;Autres;;;;;Québec
DI99999QWZK300;IN9999AJEHZ000;2021-05-05;T;89008;RIGE;c.C-24.2;519.21.1;EX;VL;Véhicule lourd;Heures de conduite;;;;;Québec
DI99995XVWK300;IN9999I1RHZ000;2021-09-30;C;72010;RIGE;c.C-24.2;519.10;CD;VL;Véhicule lourd;Heures de conduite;;;;;Québec
DI99999QWZK300;IN9999J2RHZ000;2021-05-03;T;89008;RIGE;c.C-24.2;519.21.1;EX;VL;Véhicule lourd;Heures de conduite;;;;;Québec
DI99999QWZK300;IN9999M5RHZ000;2021-05-04;T;91042;RIGE;c.C-24.2;519.21.1;EX;VL;Véhicule lourd;Heures de conduite;;;;;Québec
DI99999QWZK300;IN99996NSHZ000;2021-05-04;T;99005;RIGE;c.C-24.2;519.21.1;EX;VL;Véhicule lourd;Heures de conduite;;;;;Québec
DI99999QWZK300;IN9999BSSHZ000;2021-05-05;T;99005;RIGE;c.C-24.2;519.21.1;EX;VL;Véhicule lourd;Heures de conduite;;;;;Québec
DI99999QWZK300;IN9999L0THZ000;2021-05-10;C;99005;RIGE;c.C-24.2;519.10;CD;VL;Véhicule lourd;Heures de conduite;;;;;Québec
DI99999QWZK300;IN9999R6THZ000;2021-05-11;C;99005;RIGE;c.C-24.2;519.10;CD;VL;Véhicule lourd;Heures de conduite;;;;;Québec
DI99999QWZK300;IN9999YDTHZ000;2021-05-19;C;99005;RIGE;c.C-24.2;519.10;CD;VL;Véhicule lourd;Heures de conduite;;;;;Québec
DI99999QWZK300;IN99994JTHZ000;2021-05-10;C;99005;RIGE;c.C-24.2;519.10;CD;VL;Véhicule lourd;Heures de conduite;;;;;Québec
DI99999QWZK300;IN99995KTHZ000;2021-05-11;T;99005;RIGE;c.C-24.2;519.21.1;EX;VL;Véhicule lourd;Heures de conduite;;;;;Québec
DI9999JO67L300;IN9999EHZHZ000;2021-09-27;T;76055;RIGE;c.C-24.2;519.20;PR;VL;Véhicule lourd;Autres;;;;;Québec
DI99999QWZK300;IN9999WZZHZ000;2021-10-18;T;93020;RIGE;c.C-24.2;519.20;PR;VL;Véhicule lourd;Autres;;;;;Québec
DI99999QWZK300;IN9999200IZ000;2021-10-18;T;93020;RIGE;c.C-24.2;519.20;PR;VL;Véhicule lourd;Autres;;;;;Québec
DI99999QWZK300;IN9999310IZ000;2021-10-18;T;93020;RIGE;c.C-24.2;519.20;PR;VL;Véhicule lourd;Autres;;;;;Québec
DI9999790CL300;IN9999OEJKZ000;2021-11-01;T;91025;RIGE;c.C-24.2;519.20;PR;VL;Véhicule lourd;Autres;;;;;Québec
DI9999790CL300;IN9999PFJKZ000;2021-11-01;T;91025;RIGE;c.C-24.2;519.20;PR;VL;Véhicule lourd;Autres;;;;;Québec
DI999944S6L300;IN9999F2MJZ000;2021-09-29;T;56083;RIGE;c.C-24.2;519.20;PR;VL;Véhicule lourd;Autres;;;;;Québec
DI9999GCU6L300;IN9999RRWKZ000;2021-11-02;T;66023;RIGE;c.C-24.2;519.21.1;EX;VL;Véhicule lourd;Heures de conduite;;;;;Québec
DI9999P772L300;IN9999J80LZ000;2021-10-22;T;49030;RIGE;c.C-24.2;519.15.2;EX;VL;Véhicule lourd;Ronde de sécurité;;;;;Québec
DI9999W6N6L300;IN9999PE0LZ000;2021-10-01;T;56083;RIGE;c.C-24.2;519.15;PR;VL;Véhicule lourd;Vérification mécanique;;;;;Québec
DI9999W6N6L300;IN9999F02LZ000;2021-09-29;T;56083;RIGE;c.C-24.2;519.20;PR;VL;Véhicule lourd;Autres;;;;;Québec
DI9999W6N6L300;IN9999ZK2LZ000;2021-09-29;T;56083;RIGE;c.C-24.2;519.20;PR;VL;Véhicule lourd;Autres;;;;;Québec
DI9999NTSGL300;IN9999008OZ000;2021-11-15;T;25213;RIGE;c.C-24.2;519.20;PR;VL;Véhicule lourd;Autres;;;;;Québec
DI9999ZNMEL300;IN9999319OZ000;2021-11-09;T;65005;RIGE;c.C-24.2;519.20;EX;VL;Véhicule lourd;Heures de conduite;;;;;Québec
DI9999P772L300;IN99999TYOZ000;2021-11-05;T;50072;RIGE;c.C-24.2;519.21.1;EX;VL;Véhicule lourd;Heures de conduite;;;;;Québec
DI9999X1ZCL300;IN9999R21PZ000;2021-11-02;T;66007;RIGE;c.C-24.2;519.20;PR;VL;Véhicule lourd;Autres;;;;;Québec
DI9999X1ZCL300;IN99996H1PZ000;2021-11-02;T;66007;RIGE;c.C-24.2;519.20;PR;VL;Véhicule lourd;Autres;;;;;Québec
DI9999X1ZCL300;IN9999AL1PZ000;2021-11-02;T;66007;RIGE;c.C-24.2;519.20;PR;VL;Véhicule lourd;Autres;;;;;Québec
DI9999P772L300;IN9999UT7PZ000;2021-11-05;T;50072;RIGE;c.C-24.2;519.21.1;EX;VL;Véhicule lourd;Heures de conduite;;;;;Québec
DI9999P772L300;IN9999L2GPZ000;2021-11-05;T;50072;RIGE;c.C-24.2;519.21.1;EX;VL;Véhicule lourd;Heures de conduite;;;;;Québec
DI9999P772L300;IN9999WGAGZ000;2021-10-06;T;50072;RIGE;c.C-24.2;519.21.1;EX;VL;Véhicule lourd;Heures de conduite;;;;;Québec
DI9999CRJ7L300;IN99998EHGZ000;2021-09-29;T;60037;RIGE;c.C-24.2;519.20;PR;VL;Véhicule lourd;Autres;;;;;Québec
DI9999CRJ7L300;IN9999GMHGZ000;2021-09-29;T;60037;RIGE;c.C-24.2;519.20;PR;VL;Véhicule lourd;Autres;;;;;Québec
DI99995XVWK300;IN99991Q6HZ000;2021-10-14;T;72010;RIGE;c.C-24.2;519.15;PR;VL;Véhicule lourd;Vérification mécanique;;;;;Québec
DI9999QU2AL300;IN9999AZ6HZ000;2021-10-14;T;88055;RIGE;c.C-24.2;519.20;PR;VL;Véhicule lourd;Autres;;;;;Québec
DI9999CRJ7L300;IN9999F08HZ000;2021-09-29;T;60037;RIGE;c.C-24.2;519.20;EX;VL;Véhicule lourd;Autres;;;;;Québec
DI9999P772L300;IN9999I19HZ000;2021-08-30;C;50072;RIGE;c.C-24.2;519.10;CD;VL;Véhicule lourd;Heures de conduite;;;;;Québec
DI9999P772L300;IN9999K39HZ000;2021-08-30;C;50072;RIGE;c.C-24.2;519.8.1;CD;VL;Véhicule lourd;Heures de conduite;;;;;Québec
DI99999QWZK300;IN9999420IZ000;2021-10-18;T;93020;RIGE;c.C-24.2;519.20;PR;VL;Véhicule lourd;Autres;;;;;Québec
DI99999QWZK300;IN9999GE0IZ000;2021-10-18;T;93020;RIGE;c.C-24.2;519.20;PR;VL;Véhicule lourd;Autres;;;;;Québec
DI99999QWZK300;IN9999IG0IZ000;2021-10-18;T;93020;RIGE;c.C-24.2;519.15;PR;VL;Véhicule lourd;Vérification mécanique;;;;;Québec
DI9999P772L300;IN9999JXSIZ000;2021-08-13;C;49030;RIGE;c.C-24.2;519.2.1;CD;VL;Véhicule lourd;Ronde de sécurité;;;;;Québec
DI9999GCU6L300;IN9999POGJZ000;2021-10-27;T;66023;RIGE;c.C-24.2;519.21.1;EX;VL;Véhicule lourd;Heures de conduite;;;;;Québec
DI999944S6L300;IN9999EBHJZ000;2021-07-01;T;56083;RIGE;c.C-24.2;519.15;PR;VL;Véhicule lourd;Vérification mécanique;;;;;Québec
DI999944S6L300;IN9999GBIJZ000;2021-10-01;T;56083;RIGE;c.C-24.2;519.15;PR;VL;Véhicule lourd;Vérification mécanique;;;;;Québec
DI9999GCU6L300;IN9999PKIJZ000;2021-10-27;T;66023;RIGE;c.C-24.2;519.21.1;EX;VL;Véhicule lourd;Heures de conduite;;;;;Québec
DI999944S6L300;IN9999F6KJZ000;2021-07-01;T;56083;RIGE;c.C-24.2;519.15;PR;VL;Véhicule lourd;Vérification mécanique;;;;;Québec
DI9999P772L300;IN9999D2LJZ000;2021-10-06;T;50072;RIGE;c.C-24.2;519.21.2;EX;VL;Véhicule lourd;Heures de conduite;;;;;Québec
DI9999P772L300;IN9999NCLJZ000;2021-08-13;C;49030;RIGE;c.C-24.2;519.10;CD;VL;Véhicule lourd;Heures de conduite;;;;;Québec
DI9999P772L300;IN9999PELJZ000;2021-08-10;C;37067;RIGE;c.C-24.2;519.10;CD;VL;Véhicule lourd;Heures de conduite;;;;;Québec
DI9999P772L300;IN9999SHLJZ000;2021-10-22;T;50072;RIGE;c.C-24.2;519.21.1;EX;VL;Véhicule lourd;Heures de conduite;;;;;Québec
DI99991QW7L300;IN9999VKLJZ000;2021-10-21;T;88022;RIGE;c.C-24.2;519.25;EX;VL;Véhicule lourd;Heures de conduite;;;;;Québec
DI999944S6L300;IN99998XLJZ000;2021-07-01;T;56083;RIGE;c.C-24.2;519.15;PR;VL;Véhicule lourd;Vérification mécanique;;;;;Québec
DI99991QW7L300;IN9999YLMJZ000;2021-10-21;T;88022;RIGE;c.C-24.2;519.71;AU;AU;Autre véhicule;Autres;;;;;Québec
DI9999X1ZCL300;IN9999CRHPZ000;2021-11-02;T;66007;RIGE;c.C-24.2;519.20;PR;VL;Véhicule lourd;Autres;;;;;Québec
DI9999X1ZCL300;IN9999OXKPZ000;2021-11-02;T;66007;RIGE;c.C-24.2;519.20;EX;VL;Véhicule lourd;Heures de conduite;;;;;Québec
DI9999X1ZCL300;IN99993ALPZ000;2021-11-02;T;66007;RIGE;c.C-24.2;519.20;EX;VL;Véhicule lourd;Heures de conduite;;;;;Québec
DI9999X1ZCL300;IN9999OVLPZ000;2021-06-22;T;49058;RIGE;c.C-24.2;519.21.1;EX;VL;Véhicule lourd;Heures de conduite;;;;;Québec
DI9999X1ZCL300;IN999949MPZ000;2021-06-22;C;49058;RIGE;c.C-24.2;519.10;CD;VL;Véhicule lourd;Heures de conduite;;;;;Québec
DI9999CTLHL300;IN99994VTPZ000;2021-11-25;T;67035;RIGE;c.C-24.2;519.20;PR;VL;Véhicule lourd;Autres;;;;;Québec
